Rank,Title_Lengths,Age_Hours,Points,Comments
1,72,2,87,2
2,101,4,95,3
3,54,0,8,0
4,53,3,39,7
5,67,4,84,3
6,44,4,89,8
7,95,0,0,0
8,62,10,296,7
9,79,11,200,1
10,100,3,35,6
11,46,0,21,1
12,77,2,12,0
13,27,2,27,1
14,39,3,60,2
15,33,3,18,2
16,74,17,354,8
17,94,13,173,5
18,40,11,128,5
19,83,1,19,1
20,38,3,16,0
21,90,1,30,9
22,57,3,11,9
23,80,16,164,4
24,59,2,54,4
25,68,7,169,1
26,72,4,50,2
27,61,4,68,4
28,65,0,9,0
29,59,6,26,1
30,59,15,148,8
1,72,2,87,2
2,101,4,95,3
3,54,0,8,0
4,53,3,39,7
5,67,4,84,3
6,44,4,89,8
7,95,0,0,0
8,62,10,296,7
9,79,11,200,1
10,100,3,35,6
11,46,0,21,1
12,77,2,12,0
13,27,2,27,1
14,39,3,60,2
15,33,3,18,2
16,74,17,354,8
17,94,13,173,5
18,40,11,128,5
19,83,1,19,1
20,38,3,16,0
21,90,1,30,9
22,57,3,11,9
23,80,16,164,4
24,59,2,54,4
25,68,7,169,1
26,72,4,50,2
27,61,4,68,4
28,65,0,9,0
29,59,6,26,1
30,59,15,148,8
1,72,2,87,2
2,101,4,95,3
3,54,0,8,0
4,53,3,39,7
5,67,4,84,3
6,44,4,89,8
7,95,0,0,0
8,62,10,296,7
9,79,11,200,1
10,100,3,35,6
11,46,0,21,1
12,77,2,12,0
13,27,2,27,1
14,39,3,60,2
15,33,3,18,2
16,74,17,354,8
17,94,13,173,5
18,40,11,128,5
19,83,1,19,1
20,38,3,16,0
21,90,1,30,9
22,57,3,11,9
23,80,16,164,4
24,59,2,54,4
25,68,7,169,1
26,72,4,50,2
27,61,4,68,4
28,65,0,9,0
29,59,6,26,1
30,59,15,148,8
1,72,2,87,2
2,101,4,95,3
3,54,0,8,0
4,53,3,39,7
5,67,4,84,3
6,44,4,89,8
7,95,0,0,0
8,62,10,296,7
9,79,11,200,1
10,100,3,35,6
11,46,0,21,1
12,77,2,12,0
13,27,2,27,1
14,39,3,60,2
15,33,3,18,2
16,74,17,354,8
17,94,13,173,5
18,40,11,128,5
19,83,1,19,1
20,38,3,16,0
21,90,1,30,9
22,57,3,11,9
23,80,16,164,4
24,59,2,54,4
25,68,7,169,1
26,72,4,50,2
27,61,4,68,4
28,65,0,9,0
29,59,6,26,1
30,59,15,148,8
1,72,2,87,2
2,101,4,95,3
3,54,0,8,0
4,53,3,39,7
5,67,4,84,3
6,44,4,89,8
7,95,0,0,0
8,62,10,296,7
9,79,11,200,1
10,100,3,35,6
11,46,0,21,1
12,77,2,12,0
13,27,2,27,1
14,39,3,60,2
15,33,3,18,2
16,74,17,354,8
17,94,13,173,5
18,40,11,128,5
19,83,1,19,1
20,38,3,16,0
21,90,1,30,9
22,57,3,11,9
23,80,16,164,4
24,59,2,54,4
25,68,7,169,1
26,72,4,50,2
27,61,4,68,4
28,65,0,9,0
29,59,6,26,1
30,59,15,148,8
